date;Afghanistan;Albania;Algeria;Andorra;Angola;Antigua and Barbuda;Argentina;Armenia;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Brazil;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Eswatini;Ethiopia;Fiji;Finland;France;Gabon;Gambia;Georgia;Germany;Ghana;Greece;Grenada;Guatemala;Guinea;Guinea-Bissau;India;Indonesia;Iran;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Nigeria;North Macedonia;Norway;Oman;Pakistan;Poland;Portugal;Qatar;Romania;Russia;Rwanda;Saint Kitts and Nevis;Saint Lucia;Saint Vincent and the Grenadines;San Marino;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovakia;Slovenia;Somalia;South Africa;Spain;Sri Lanka;Sudan;Suriname;Sweden;Switzerland;Syria;Tajikistan;Tanzania;Thailand;Timor-Leste;Togo;Trinidad and Tobago;Tunisia;Turkey;US;Uganda;Ukraine;United Arab Emirates;United Kingdom;Uruguay;Uzbekistan;Venezuela;Vietnam;West Bank and Gaza;Western Sahara;Yemen;Zambia;Zimbabwe;Afghanistan_fitted;Albania_fitted;Algeria_fitted;Andorra_fitted;Angola_fitted;Antigua and Barbuda_fitted;Argentina_fitted;Armenia_fitted;Australia_fitted;Austria_fitted;Azerbaijan_fitted;Bahamas_fitted;Bahrain_fitted;Bangladesh_fitted;Barbados_fitted;Belarus_fitted;Brazil_fitted;Dominica_fitted;Dominican Republic_fitted;Ecuador_fitted;Egypt_fitted;El Salvador_fitted;Equatorial Guinea_fitted;Eritrea_fitted;Estonia_fitted;Eswatini_fitted;Ethiopia_fitted;Fiji_fitted;Finland_fitted;France_fitted;Gabon_fitted;Gambia_fitted;Georgia_fitted;Germany_fitted;Ghana_fitted;Greece_fitted;Grenada_fitted;Guatemala_fitted;Guinea_fitted;Guinea-Bissau_fitted;India_fitted;Indonesia_fitted;Iran_fitted;Kuwait_fitted;Kyrgyzstan_fitted;Laos_fitted;Latvia_fitted;Lebanon_fitted;Lesotho_fitted;Liberia_fitted;Libya_fitted;Liechtenstein_fitted;Lithuania_fitted;Nigeria_fitted;North Macedonia_fitted;Norway_fitted;Oman_fitted;Pakistan_fitted;Poland_fitted;Portugal_fitted;Qatar_fitted;Romania_fitted;Russia_fitted;Rwanda_fitted;Saint Kitts and Nevis_fitted;Saint Lucia_fitted;Saint Vincent and the Grenadines_fitted;San Marino_fitted;Sao Tome and Principe_fitted;Saudi Arabia_fitted;Senegal_fitted;Serbia_fitted;Seychelles_fitted;Sierra Leone_fitted;Singapore_fitted;Slovakia_fitted;Slovenia_fitted;Somalia_fitted;South Africa_fitted;Spain_fitted;Sri Lanka_fitted;Sudan_fitted;Suriname_fitted;Sweden_fitted;Switzerland_fitted;Syria_fitted;Tajikistan_fitted;Tanzania_fitted;Thailand_fitted;Timor-Leste_fitted;Togo_fitted;Trinidad and Tobago_fitted;Tunisia_fitted;Turkey_fitted;US_fitted;Uganda_fitted;Ukraine_fitted;United Arab Emirates_fitted;United Kingdom_fitted;Uruguay_fitted;Uzbekistan_fitted;Venezuela_fitted;Vietnam_fitted;West Bank and Gaza_fitted;Western Sahara_fitted;Yemen_fitted;Zambia_fitted;Zimbabwe_fitted
4/11/20;555;433;1825;601;19;21;1975;967;6303;13806;1058;46;1040;482;68;2226;20727;16;2759;7257;1939;118;18;34;1304;12;69;16;2905;94863;46;9;242;124908;408;2081;14;137;250;38;8446;3842;70029;1154;339;18;630;619;0;48;24;79;1026;318;760;6409;546;5230;6356;15987;2728;5990;13584;120;12;15;12;356;4;4033;278;3380;11;8;2299;728;1188;21;2028;163027;198;19;10;10448;25107;25;0;32;2518;2;76;112;685;52167;527969;53;2511;3736;90273;501;767;175;258;268;4;1;40;14;555.0;433.0;1825.0;601.0;19.0;21.0;1975.0;967.0;6303.0;13806.0;1058.0;46.0;1040.0;482.0;68.0;2226.0;20727.0;16.0;2759.0;7257.0;1939.0;118.0;18.0;34.0;1304.0;12.0;69.0;16.0;2905.0;94863.0;46.0;9.0;242.0;124908.0;408.0;2081.0;14.0;137.0;250.0;38.0;8446.0;3842.0;70029.0;1154.0;339.0;18.0;630.0;619.0;0.0;48.0;24.0;79.0;1026.0;318.0;760.0;6409.0;546.0;5230.0;6356.0;15987.0;2728.0;5990.0;13584.0;120.0;12.0;15.0;12.0;356.0;4.0;4033.0;278.0;3380.0;11.0;8.0;2299.0;728.0;1188.0;21.0;2028.0;163027.0;198.0;19.0;10.0;10448.0;25107.0;25.0;0.0;32.0;2518.0;2.0;76.0;112.0;685.0;52167.0;527969.0;53.0;2511.0;3736.0;90273.0;501.0;767.0;175.0;258.0;268.0;4.0;1.0;40.0;14.0
4/12/20;607;446;1914;638;19;21;2142;1013;6315;13945;1098;46;1136;621;71;2578;22192;16;2967;7466;2065;125;21;34;1309;14;71;16;2974;121712;49;9;257;127854;566;2114;14;155;250;38;9205;4241;71686;1234;377;19;651;630;0;50;25;79;1053;323;828;6525;599;5496;6674;16585;2979;6300;15770;126;12;15;12;356;4;4462;280;3630;11;10;2532;742;1205;25;2173;166831;210;19;10;10912;25415;25;0;32;2551;2;76;113;707;56956;556522;54;2777;4123;93812;480;865;181;262;271;6;1;43;14;582.9901242395451;443.30844507434773;1877.403243810898;603.6909789634689;19.74023090880476;21.309522787060036;2060.423607173116;1007.2217082972741;6361.480089585816;13866.850611803844;1097.4496100818023;47.23888239643029;1081.768273906279;512.7563561120054;68.41745006408038;2325.1698312732287;21845.755608376563;16.0235095968302;2851.6086960368325;7462.355944440618;2027.554604551724;123.84692146964355;19.0112877334925;34.66101568732176;1312.709929027404;12.626679324348418;72.7053346547616;16.070527502934368;2951.600665614686;95846.1686860655;48.52626219331313;9.389221297741132;246.405405351736;125802.00844799729;427.2821312511593;2102.259330251875;14.140288956518754;144.9055525884314;259.60406312662025;39.79641888953746;8966.842821647466;3970.8850813944428;71230.04085043288;1205.2006074688031;354.5724935668515;18.020971123180022;639.2223688290244;633.1801631823944;0.0;49.77226278967095;25.15071332568883;79.1120087689117;1033.3439234661657;334.4727005786172;781.3430601061272;6439.295590372224;575.0220456133999;5481.036417069137;6496.719410406175;16220.261239683097;2854.6379500529524;6111.305421183682;14272.46877175154;123.73815640539488;12.06351332882432;15.066263391015935;12.171755136147203;360.7128367807051;4.188464384250785;4229.1805572766025;288.9303163585927;3454.7279845429257;11.267347936275817;8.343287164006338;2391.2392807305528;736.5687579918301;1194.984752238208;22.234745002364;2142.277359400236;164140.87834444296;204.55916714597052;20.285955627070436;10.468998394429885;10727.939681047117;25220.94300468377;25.83871447335823;0.0;33.327921377337404;2529.1674288599993;2.073956656572076;77.88825995359589;114.22313858611425;692.8203809082177;58412.38687213258;540834.6779192258;54.52921969627551;2596.0504519955875;3865.7513353700997;92052.82280386562;505.1451866021294;793.136905515336;183.40275587872333;260.300302099642;277.4142179864712;4.0619476742017975;1.0750204005161068;41.92194889701756;14.731953827464464
4/13/20;665;467;1983;646;19;23;2208;1039;6351;14041;1148;47;1361;803;72;2919;23430;16;3167;7529;2190;137;21;34;1332;15;74;16;3064;125394;57;9;272;130072;566;2145;14;156;319;38;10453;4557;73303;1300;419;19;655;632;0;59;26;79;1062;343;854;6603;727;5837;6934;16934;3231;6633;18328;127;12;15;12;356;4;4934;291;4054;11;10;2918;769;1212;60;2272;170099;217;29;10;11349;25688;25;0;49;2579;4;77;113;726;61049;581813;54;3102;4521;98017;483;998;189;265;273;6;1;45;17;612.3818151849684;453.8592984574791;1931.2788420970303;606.3939667713735;20.50922341830315;21.62300744820748;2149.5341396055283;1049.096296475367;6420.502764673191;13927.968502839876;1138.3464193695804;48.511130637524296;1125.1953406654147;545.4734790488492;68.83733851894486;2428.687413722915;23024.60515911573;16.047053735026747;2947.2752217684397;7673.293958052187;2120.1112325134873;129.98282301431593;20.079286922978522;35.33438082934933;1321.44157439719;13.286040106592031;76.60872945464733;16.141322045684166;2998.735444184976;96837.82563089045;51.190885218384935;9.795260106879534;250.883768590891;126698.77306198757;447.4709321707372;2123.73578293805;14.281055636686233;153.26681787856404;269.5716316244691;41.67703809679774;9519.671025115971;4104.044811974927;72449.03684627805;1258.655693745185;370.83816737593287;18.041966671726755;648.5165452086158;647.6851591623516;0.0;51.60868136860673;26.35657809398708;79.22417065759505;1040.7402384926775;351.7959408106233;803.2681862927776;6469.6506877797865;605.5814949074493;5744.002795515053;6640.385660652349;16456.23526277848;2987.083274660794;6235.032525336316;14995.513580803114;127.59042028583383;12.126954672617316;15.132743628083434;12.345736151535345;365.4595298377519;4.385793954615319;4434.832791332515;300.28548466152796;3531.004385118953;11.540913089202512;8.701292408030087;2487.0991118161514;745.2383725217001;1202.0103978020845;23.541880081792094;2262.9810198091104;165262.0333404514;211.32793080501236;21.6588854752976;10.95997272578168;11014.80637195755;25335.011374882022;26.705553362263302;0.0;34.7093763566818;2540.311215357771;2.150545227768504;79.82237178227224;116.48881893710107;700.7300263447497;65019.99920729766;553990.087146985;56.102562261293855;2683.952292119248;3999.8712836227733;93860.40848702249;509.3244795701463;820.1564895863603;192.20402801956058;262.6211110117479;287.1577922701166;4.124555300300629;1.1556674834090501;43.93608764668469;15.50213372707342
4/14/20;714;475;2070;659;19;23;2277;1067;6415;14226;1197;49;1528;1012;72;3281;25262;16;3286;7603;2350;149;41;34;1373;15;82;16;3161;130365;57;9;300;131359;636;2170;14;167;363;38;11487;4839;74877;1355;430;19;657;641;0;59;35;79;1070;373;908;6623;813;6383;7202;17448;3428;6879;21102;134;14;15;12;371;4;5369;299;4465;11;11;3252;835;1220;60;2415;172541;233;32;10;11828;25936;29;0;53;2613;6;77;113;747;65111;608878;55;3372;4933;102365;492;1165;189;266;284;6;1;45;17;643.2442126429468;464.6581150827709;1986.6662632961384;609.10901665757;21.308088899161202;21.94048576762225;2242.4900297594104;1092.6899731325773;6480.073059357717;13989.354838995818;1180.741702788563;49.81764335409659;1170.3455400970263;580.2761344866847;69.25967803998742;2536.736918128662;24266.744245869777;16.070632471769883;3046.0970648334355;7889.952450764613;2216.846780879861;136.4219122715727;21.207165636077992;36.020306098673956;1330.194355882789;13.979781752785325;80.72066981620146;16.21238422510956;3046.4026827471853;97838.00677899565;54.001404140630314;10.218841752729503;255.4360212549966;127598.23850267688;468.6085885575666;2145.431574287912;14.422277094261458;162.11000857392537;279.91603489125026;43.64573384154015;10106.43186543916;4241.617614088522;73686.16136288233;1314.4629660201158;387.8257694686071;18.062986673233265;657.8808236850808;662.5224286810285;0.0;53.511481121434215;27.62023551525886;79.33648586088052;1048.1893163278967;370.01334261414934;825.7902553099316;6500.064399022053;637.7592176959598;6019.454289671501;6787.0527571826715;16694.931632855172;3125.595483458451;6361.228223493969;15754.837880530018;131.56012542101183;12.19031721855172;15.199440663736352;12.521964893285489;370.2394002939498;4.592404318622854;4650.406876267405;312.0816237204855;3608.8565315483893;11.820825975782155;9.074645645455922;2586.7149895043185;754.0100307078696;1209.0771740694177;24.925623841174524;2390.470827745852;166390.50792962237;218.3124631331254;23.12466331472241;11.4739508073528;11308.739468073027;25449.200463610632;27.60145887139722;0.0;36.146388393345774;2551.4302963118053;2.2298515045158003;81.80339490524972;118.7977905097374;708.7299548459515;71904.31609685508;567440.5914788215;57.72130079643973;2774.799086351382;4138.4971005711195;95695.87898555392;513.5381563493772;848.08800625931;201.4222277988635;264.9626095125417;297.24214908487346;4.187819207285198;1.242363048517545;46.04682273604191;16.312531476158412
4/15/20;784;494;2160;673;19;23;2443;1111;6440;14336;1253;49;1671;1231;73;3728;28320;16;3614;7858;2505;159;51;35;1400;15;85;16;3237;133585;80;9;306;134753;636;2192;14;180;404;43;12322;5136;76389;1405;449;19;666;658;0;59;48;79;1091;407;974;6740;910;6919;7582;18091;3711;7216;24490;136;14;15;12;372;4;5862;314;4873;11;13;3699;863;1248;80;2506;177644;238;32;10;12432;26336;33;0;88;2643;8;81;114;780;69392;637974;55;3764;5365;107465;493;1302;197;267;291;6;1;48;23;675.6497590903953;475.71056980736654;2043.6059204275057;611.836182086146;22.137981154930706;22.26198915461791;2339.4564612332215;1138.0714523480485;6540.196054545529;14051.010791124441;1224.6884121223147;51.15934336460025;1217.2855808166578;617.2969965687685;69.68448134822616;2649.509729246388;25575.53484838505;16.09424584866119;3148.174580356998;8112.472482827689;2317.9455973237878;143.17908814938244;22.39826758872025;36.71900495126553;1338.9676823359764;14.709691562001954;85.05218503587415;16.28371463518951;3094.600390056505;98846.74734308747;56.96575970580667;10.660722700961987;260.0630958200918;128500.34829080575;490.73920665503056;2167.348943120998;14.563929756974316;171.46283886125565;290.65105720710653;45.70655405957649;10729.188998706546;4383.746160170991;74941.5858599096;1372.7242237329153;405.5650383863788;18.084031157375083;667.3134066034532;677.6995831935444;0.0;55.48295725148041;28.944453092206725;79.44895457064624;1055.6915308114005;389.1707346200253;848.9244659949977;6530.535818343645;671.6402761619472;6307.970734872733;6936.775338739318;16936.35916616108;3270.445037990994;6489.940275260439;16552.225636536637;135.65069335640462;12.25359409383619;15.266354441818253;12.700463204110886;375.0517352079476;4.808730429094742;4876.373680375425;324.3354320319145;3688.312013909924;12.107219138659051;9.46400364919557;2690.2269354844657;762.8849336288326;1216.185319767282;26.39043772138648;2525.126604744746;167526.34524343465;225.51908182487182;24.68955838842578;12.012008328365413;11609.879342922752;25563.505574094906;28.52740465167903;0.0;37.64104580836365;2562.5236027014594;2.311963466029198;83.83241041713322;121.1508133076667;716.8211965149999;78950.95279660863;581191.5974526424;59.38674512069689;2868.6873276705783;4281.769649074354;97559.34217440693;517.7864966020195;876.961640502468;211.07656914701374;267.3249820010597;307.6791042289766;4.251735258174303;1.3355604779354595;48.25876988782269;17.165242207902057
4/16/20;840;518;2268;673;19;23;2571;1159;6462;14476;1283;53;1700;1572;75;4204;30425;16;3755;8225;2673;164;51;35;1434;16;92;17;3369;146075;80;9;348;137698;641;2207;14;196;438;43;13430;5516;77995;1524;466;19;675;663;0;59;49;79;1128;442;1081;6896;1019;7025;7918;18841;4103;7707;27938;138;14;15;12;426;4;6380;335;5318;11;15;4427;977;1268;80;2605;184948;238;32;10;13055;26732;33;0;94;2672;18;81;114;822;74193;669272;55;4161;5825;112808;502;1349;204;268;294;6;1;48;23;709.6743460598691;487.0224601976323;2102.139189917261;614.5755167549843;23.000098071055607;22.587548611693542;2440.605644091909;1185.3120361485323;6600.8768781488;14112.937535110004;1270.2412221273657;52.53717834313453;1266.0846171581309;656.6771441160927;70.1117612103657;2767.2046678719407;26954.51353675488;16.117893922249273;3253.611062301187;8340.997766899123;2423.5997533623604;150.26997311576113;23.65612159242579;37.430693629395115;1347.7609516580972;15.477649134805402;89.61487527893657;16.355313866986037;3143.3262190633586;99864.08178189493;60.09231938403165;11.121691948711216;264.765925223033;129405.04480452274;513.9088949324583;2189.4901510835252;14.70598943220711;181.35460891458686;301.79095056813566;47.86372517415525;11390.129110268006;4530.5774945530065;76215.47978356305;1433.5455180097576;424.08671711112873;18.10510015244586;676.8124036314375;693.2244077346556;0.0;57.52547641166754;30.332130668010585;79.56157698017515;1063.2472583949618;409.31625926451306;872.6863431865323;6561.064027397715;707.314133762164;6610.157613710193;7089.608666246652;17180.525902977886;3421.91374328862;6621.217301994553;17389.54473456091;139.86563528829643;12.316778366732956;15.333484896920526;12.881252913996413;379.8957869593328;5.035227485941524;5113.225631547601;337.06420603216054;3769.398673431311;12.400227144331806;9.870051183522044;2797.779598306529;771.8642965113137;1223.335074983867;27.94103948196767;2667.349231316685;168669.58860328895;232.95425093126994;26.36026187340192;12.575271081647964;11918.367235890273;25677.921959863117;29.48439694393421;0.0;39.19550283334064;2573.5900598536127;2.396971286512923;85.91052145474708;123.54865791637242;725.0047931976029;86016.927585742;595248.5516793238;61.10024285386923;2965.7165249959025;4429.833439523816;99450.89107320829;522.0697822090822;906.8085350474944;221.18709815002592;269.70841451929834;318.4808760179073;4.316298837676625;1.4357471029019844;50.576763628244414;18.062469628255617
4/17/20;906;539;2418;696;19;23;2669;1201;6522;14595;1340;54;1740;1838;75;4779;33682;16;4126;8450;2844;177;79;35;1459;16;96;17;3489;148084;108;9;370;141397;641;2224;14;214;477;43;14352;5923;79494;1658;489;19;682;668;0;76;49;79;1149;493;1117;6937;1069;7638;8379;19022;4663;8067;32008;143;14;15;12;435;4;7142;342;5690;11;26;5050;1049;1304;116;2783;190839;244;33;10;13743;27078;38;0;147;2700;18;83;114;864;78546;701996;56;4662;6302;117798;508;1405;204;268;307;6;1;52;24;745.3974660661828;498.5997087079874;2162.3084252161357;617.3270745966414;23.89568317981872;22.917194706404768;2546.1171104210866;1234.4856980142674;6662.120705703636;14175.136251896907;1317.45657266465;53.95212149709383;1316.8143275098892;698.5665921342805;70.54153043868436;2890.028221868737;28407.40014359224;16.141576743067336;3362.512807358029;8575.674667176498;2534.0093314965084;157.7109477144154;24.984451680057795;38.15559116503829;1356.5735507713516;16.285631107846108;94.42093974283677;16.42718250860162;3192.5774547716237;100890.04379512754;63.38989982753854;11.602572347580121;269.54544228916427;130312.269276643;538.1658509259747;2211.857482889661;14.848431302073175;191.81629532599965;313.350447603661;50.121659294460954;12091.569010937354;4682.263142682238;77508.01031246586;1497.0373130320552;443.42256582289946;18.126193686977118;686.3758268323055;709.1048656889341;0.0;59.64147825879097;31.786306655465644;79.67435328294312;1070.8568781622419;430.500486538414;897.0917412028494;6591.648095223566;744.8748765188597;6926.647070388535;7245.608611429543;17427.439078085274;3580.2951582381334;6755.10880318214;18268.750553130572;144.20855351599272;12.37986305073692;15.40083195104839;13.06435583215781;384.77077275564244;5.272371844771202;5361.477631946826;350.28585884388167;3852.1445929863016;12.69998656295894;10.29350220665219;2909.522357304493;780.9493489779429;1230.5266811759777;29.582417607192674;2817.561798256297;169820.28152042834;240.62458146405265;28.14391510655749;13.164917272373243;12234.345129926236;25792.44482486283;30.473475644977235;0.0;40.81198056648809;2584.6285875873423;2.4849673367934746;88.03885350793311;125.99210552700359;733.2817986167812;92933.55763196551;609616.9379125179;62.86318050239058;3065.9892799456043;4582.836668724726;101370.60325375063;526.3882972817598;937.6608181157629;231.77472398477093;272.11309476658363;329.6600980629058;4.381504844080731;1.5434467376082335;53.005867574749026;19.006531619601873
4/18/20;933;548;2534;704;24;23;2758;1248;6568;14671;1373;55;1773;2144;75;5297;36658;16;4335;9022;3032;190;79;39;1512;22;105;17;3681;148086;108;9;388;143342;834;2235;14;235;518;46;15722;6248;80868;1751;506;19;712;672;0;76;49;79;1239;542;1170;7036;1180;8348;8742;19685;5008;8418;36793;144;14;15;12;455;4;8274;350;5994;11;30;5992;1089;1317;135;3034;191726;254;66;10;14275;27404;38;0;147;2733;18;84;114;864;82329;730266;55;5106;6302;122534;517;1490;227;268;313;6;1;57;25;782.9023695019429;510.4483646464244;2224.156972766057;620.090909779367;24.82602738709451;23.250957546894913;2656.178019634831;1285.6691665900294;6723.932760865771;14237.608127498237;1366.3927141458744;55.40517222803406;1369.5489922143856;743.1248397143121;70.9738018908705;3018.194776370082;29938.10682718675;16.16529436217041;3474.9891849924475;8816.652194520891;2649.3827177174553;165.51918667117974;26.387187851281766;38.893919365695005;1365.4048555849226;17.13571611380119;99.4832060778454;16.49932114512215;3242.3510136497553;101924.66628756153;66.86779056186835;12.104222071288849;274.40257916579674;131221.96179111878;563.5604513960257;2234.453246541563;14.991229924236261;202.88064628954908;325.3447746708515;52.484961580058126;12835.962995154421;4838.959232793493;78819.34216908383;1563.3146521344725;463.6053708103406;18.14731178953416;696.0015945448397;725.349103793936;0.0;61.83347706762323;33.31016468442797;79.7872836726271;1078.5207718757026;452.77653347931835;922.1568463899401;6622.287078214193;784.4214448200482;7258.098950258015;7404.83164352792;17677.105092444755;3745.895011479681;6891.665165575717;19191.889634544386;148.68314320835137;12.442841103281294;15.468395515771759;13.249793736817388;389.6758743233702;5.5206619945794335;5621.66800259056;364.0189388720272;3936.5780872237665;13.006635959743157;10.735101085275188;3025.609423297331;790.1413350012224;1237.7603811765546;31.319846476393685;2976.2108034461244;170978.46769586892;248.5368317607254;30.048139594411772;13.782179937852808;12557.955620427456;25907.069323762997;31.495715374473033;0.0;42.49276783173753;2595.6381003845418;2.5760461807868245;90.21855463357616;128.48194796032521;741.6532785080874;99512.37947654;624302.2742291258;64.67698453999968;3169.61137466137;4740.931253795493;103318.54009335156;530.7423281889894;969.5516316084793;242.86125025399033;274.5392121225673;341.22983300863746;4.4473476670360785;1.6592224007355565;55.55138513603522;19.99986611477975
4/19/20;996;562;2629;713;24;23;2839;1291;6610;14749;1398;55;1881;2456;75;5807;38654;16;4680;9468;3144;201;79;39;1528;22;108;17;3783;153011;109;10;394;145184;1042;2235;14;257;579;50;17615;6575;82211;1915;554;19;727;673;0;91;51;81;1298;627;1207;7078;1266;8418;9287;20206;5448;8746;42853;147;14;15;12;461;4;9362;367;6318;11;35;6588;1161;1330;164;3158;198674;271;66;10;14663;27740;39;0;170;2765;19;84;114;879;86306;756544;55;5449;6781;126394;528;1565;256;268;319;6;1;61;25;822.2762273162147;522.5746067942516;2287.7291873601707;622.867076708111;25.792470728496085;23.58886675177063;2770.9834801922443;1338.9420147195256;6786.318315772008;14300.354353031826;1417.1097521173047;56.89735682805807;1424.3655768456433;790.5214796418863;71.40858846926986;3151.9268442549724;31550.747087158885;16.189046830688845;3591.152705931235;9064.081997227679;2769.936900673825;173.71269612454788;27.868476796505426;39.64590282586444;1374.254231015439;18.03008999007214;104.8151609854527;16.571730358543885;3292.6434300199953;102967.98131477182;70.5357775823822;12.627536118036888;279.33826673264093;132134.0612807033;590.1453451899544;2257.279773565283;15.134359231655973;214.58227800436475;337.78966494329654;54.95843787526551;13625.910623872705;5000.826616371143;80149.6374890954;1632.4973384184163;484.6689516955071;18.168454488714865;705.6875273136714;741.9654548099702;0.0;64.104063304059;34.907040587892496;79.90036834310096;1086.2393239409882;476.200183515843;947.8981803018063;6652.980020093083;826.0578651938483;7605.201845042014;7567.3348154342775;17929.52948379491;3919.031622524463;7030.937677624455;20161.103369522065;153.29319402153672;12.50570542743439;15.536175508584959;13.437588366806674;394.6102373490553;5.780619574224698;5894.359439102933;378.2826489244389;4022.72769016033;13.32031589815653;11.195623892363903;3146.199935138482;799.4415130604863;1245.03641920223;33.15890142176557;3143.767401177455;172144.19101984237;256.6979076274782;32.081069092027576;14.428349480867096;12889.341790351795;26021.79056181424;32.5522266652909;0.0;44.240221925918306;2606.6175075728906;2.6703045661319296;92.45079580330678;131.01898768279133;750.1203107611718;105554.1283732179;639310.1099681283;66.54312261157048;3276.6918583253405;4904.27285856032;105294.74606663626;535.1321635776429;1002.5151585244733;254.46940677722696;276.98695766622546;353.20358652000976;4.513821176366028;1.78367924380486;58.21887085179153;21.045037272374064
4/20/20;1026;584;2718;717;24;23;2941;1339;6623;14795;1436;60;1907;2948;75;6264;40743;16;4964;10128;3333;218;79;39;1535;24;111;18;3868;155393;120;10;402;147065;1042;2245;14;289;622;50;18539;6760;83505;1995;568;19;739;677;0;99;51;81;1326;665;1225;7156;1410;9565;9593;20863;6015;8936;47121;147;15;15;12;462;4;10484;377;6630;11;43;8014;1173;1335;237;3300;200210;304;107;10;15124;27944;39;0;254;2792;22;84;114;884;90980;783931;56;5710;7265;131260;535;1627;256;268;329;6;1;65;25;863.6102989126704;534.9847456361227;2353.070447210808;625.6556300255284;26.79640422006814;23.93095141902223;2890.736863077947;1394.3867467512634;6849.282691371266;14363.376124734341;1469.6696917231855;58.42972927413024;1481.3438153198288;840.9368294086262;71.84590312178447;3291.4552965208773;33249.64600033051;16.212834199831054;3711.1190904298605;9318.118346429146;2895.8977699130014;182.31035085254996;29.43269355803983;40.41176893506845;1383.1210309610422;18.971050937110345;110.43098226147183;16.644410727763685;3343.4508418942105;104020.02008318463;74.40416967383611;13.173447913503264;284.35343398875165;133048.5055325588;617.9755444335143;2280.3394192488886;15.277792534571914;226.95778669288515;350.70137166844427;57.547102180100445;14464.16485416393;5168.030990479137;81499.05563107446;1704.7101073927277;506.64816525531785;18.18962181315041;715.4313472036072;758.962442225168;0.0;66.45590516237465;36.58042957103524;80.01360748842059;1094.0129214215776;500.83001791309;974.3326023033082;6683.725951885929;869.8935138922878;7968.674182862336;7733.175748447209;18184.71689678024;4100.036325565326;7172.978542857856;21178.631977342517;158.0425917230874;12.568448873866492;15.604171826980332;13.627761411869647;399.57297113925586;6.052790434219868;6180.140010577791;393.0968666532474;4110.622144362477;13.64116888655906;11.675879742101273;3271.458055841625;808.8511564834049;1252.3550408614024;35.105476310121794;3320.7287832439915;173317.49557184288;265.11486213986944;34.251383732888854;15.10477630264207;13228.647030517306;26136.60359496895;33.644157160809755;0.0;46.05676922571162;2617.5657134960625;2.767841408449635;94.73677115251186;133.60403781564008;758.6839855658283;110860.32533010216;654646.0217054517;68.46310474353292;3387.3431353187734;5073.020919485804;107299.24801201645;539.558094383519;1036.5866520227376;266.6228818117328;279.4565241504796;365.59532176111236;4.580918716212502;1.9174676948657965;61.01414135385696;22.144741596014146
